timestamp_utc,temperature_c,air_humidity_percent,soil_humidity_percent,fan_on,pump_on
2026-09-09T19:55:32.152711+00:00,22,55,67,False,False
2026-09-09T19:55:34.152711+00:00,22,55,64,False,False
2026-09-09T19:55:36.152711+00:00,22,55,61,False,False
2026-09-09T19:55:38.152711+00:00,23,55,59,False,False
2026-09-09T19:55:40.152711+00:00,23,55,56,False,False
2026-09-09T19:55:42.152711+00:00,23,55,53,False,False
2026-09-09T19:55:44.152711+00:00,24,55,50,False,False
2026-09-09T19:55:46.152711+00:00,24,55,47,False,False
2026-09-09T19:55:48.152711+00:00,24,55,45,False,False
2026-09-09T19:55:50.152711+00:00,25,55,42,False,False
2026-09-09T19:55:52.152711+00:00,25,55,39,False,False
2026-09-09T19:55:54.152711+00:00,25,55,36,False,False
2026-09-09T19:55:56.152711+00:00,25,55,34,False,False
2026-09-09T19:55:58.152711+00:00,26,55,31,True,False
2026-09-09T19:56:00.152711+00:00,26,55,28,True,True
2026-09-09T19:56:02.152711+00:00,26,55,26,True,True
2026-09-09T19:56:04.152711+00:00,27,55,23,True,True
2026-09-09T19:56:06.152711+00:00,27,55,20,True,True
2026-09-09T19:56:08.152711+00:00,27,55,17,True,True
2026-09-09T19:56:10.152711+00:00,28,55,14,True,True
2026-09-09T19:56:12.152711+00:00,28,55,14,True,True
2026-09-09T19:56:14.152711+00:00,28,55,14,True,True
2026-09-09T19:56:16.152711+00:00,28,55,14,True,True
2026-09-09T19:56:18.152711+00:00,28,55,14,True,True
2026-09-09T19:56:20.152711+00:00,28,55,14,True,True
2026-09-09T19:56:22.152711+00:00,28,55,14,True,True
2026-09-09T19:56:24.152711+00:00,27,55,17,True,True
2026-09-09T19:56:26.152711+00:00,27,55,20,True,True
2026-09-09T19:56:28.152711+00:00,27,55,23,True,True
2026-09-09T19:56:30.152711+00:00,26,55,26,True,True
2026-09-09T19:56:32.152711+00:00,26,55,28,True,True
2026-09-09T19:56:34.152711+00:00,26,55,31,True,True
2026-09-09T19:56:36.152711+00:00,25,55,34,True,True
2026-09-09T19:56:38.152711+00:00,25,55,36,True,True
2026-09-09T19:56:40.152711+00:00,25,55,39,True,True
2026-09-09T19:56:42.152711+00:00,25,55,42,True,True
2026-09-09T19:56:44.152711+00:00,24,55,45,True,True
2026-09-09T19:56:46.152711+00:00,24,55,47,True,True
2026-09-09T19:56:48.152711+00:00,24,55,50,True,True
2026-09-09T19:56:50.152711+00:00,23,55,53,False,True
2026-09-09T19:56:52.152711+00:00,23,55,56,False,True
2026-09-09T19:56:54.152711+00:00,23,55,59,False,True
2026-09-09T19:56:56.152711+00:00,22,55,61,False,False
2026-09-09T19:56:58.152711+00:00,22,55,64,False,False
2026-09-09T19:57:00.152711+00:00,22,55,67,False,False
2026-09-09T19:57:02.152711+00:00,22,55,69,False,False
